,,,,,,,,
,,,,Red Nacional de Acelerografos de Colombia,,,,
,,,,,,,,
Parametros de Consulta,,,,,,,,
Fecha Incial,01/06/1993,Municipio,04/01/2018,,,,,
Latitud Minima,-5,Latitud Maxima,14,,,,,
Longitud Minima,-90,Longitud Maxima,-66,,,,,
Magnitud Minima,0,Magnitud Maxima,9,,,,,
Profundidad Minima,0,Profundidad Maxima,700,,,,,
Total Registros,1834,,,,,,,
,,,,,,,,
Sismicidad Registrada,,,,,,,,
Fecha,Hora_UTC,Departamento,Municipio,Latitud(Grados),Longitud(Grados),Profunidad(Km),Magnitud(Ml),Magnitud(Mw)
1996/08/11,12:20:00,NORTE DE SANTANDER,SALAZAR,7.748,-72.887,0,3.7,
1996/08/24,14:02:00,NORTE DE SANTANDER,TIBU,8.778,-72.58,63.4,4.4,
1996/09/02,05:39:44,SANTANDER,EL CARMEN,6.739,-73.553,106.8,2.4,
1996/09/08,05:42:40,ANTIOQUIA,URRAO,6.47,-76.239,0,4.2,
1996/09/08,13:29:38,ANTIOQUIA,ABRIAQUI,6.52,-76.2,1,4.3,
1996/09/10,02:26:51,CHOCO,SIPI,4.487,-76.655,88,4.2,
1996/09/11,06:28:46,CHOCO,SIPI,4.3,-76.83,100,5.2,
1996/10/12,10:05:55,SANTANDER,LOS SANTOS,6.824,-73.087,157.6,5,
1996/10/22,17:33:03,CAUCA,SOTARA,2.087,-76.574,2.3,3.9,
1996/10/24,05:34:17,ANTIOQUIA,BETANIA,5.659,-75.99,18.9,3.2,
1996/10/26,07:08:29,SANTANDER,LOS SANTOS,6.778,-73.118,151.4,5.1,
1996/10/30,12:23:31,SANTANDER,LOS SANTOS,6.832,-73.064,155.5,4.8,
1996/11/04,17:24:56,CHOCO,RIOSUCIO,7.478,-77.518,0,6.1,
1996/11/13,22:23:19,VALLE DEL CAUCA,BOLIVAR,4.34,-76.2,8,3.1,
1996/11/15,02:52:57,HUILA,PALESTINA,1.781,-76.123,0,3.2,
1996/11/17,18:44:16,VALLE DEL CAUCA,EL DOVIO,4.501,-76.278,109.1,5,
1996/11/19,16:15:57,ANTIOQUIA,CIUDAD BOLIVAR,5.926,-76.046,4,3.6,
1996/11/22,01:08:05,ANTIOQUIA,PUERTO NARE,6.174,-74.327,0,4.7,
1996/12/04,16:02:51,CHOCO,SIPI,4.31,-76.74,130.5,4.9,
1996/12/12,07:13:04,SANTANDER,CABRERA,6.607,-73.239,183.6,5.1,
1996/12/23,11:27:01,BOYACA,LABRANZAGRANDE,5.58,-72.709,0,3.9,
1996/12/31,16:21:08,SANTANDER,LOS SANTOS,6.843,-73.056,162,4.8,
1997/01/01,04:35:54,SANTANDER,LOS SANTOS,6.802,-73.153,152,5.8,
1997/01/04,19:31:51,NORTE DE SANTANDER,RAGONVALIA,7.672,-72.322,4,3.4,
1997/01/21,14:43:16,SANTANDER,SANTA HELENA DEL OPON,6.385,-73.631,111.8,4.2,
1997/01/27,02:39:28,SANTANDER,LOS SANTOS,6.817,-73.157,148.4,4.3,
1997/02/01,18:15:43,SANTANDER,CURITI,6.607,-73.018,4,4,
1997/02/04,17:30:53,CHOCO,JURADO,7.106,-78.073,0,5.2,
1997/02/05,20:50:38,NARINO,RICAURTE,1.246,-77.991,0,3.1,
1997/02/06,08:50:55,NARINO,FRANCISCO PIZARRO,2.579,-79.833,40.5,3,
1997/02/06,01:24:00,ZONA GEOGRAFICA ESPECIAL,LA FRONTERA CON ECUADOR,.93,-78.13,11.4,4,
1997/02/06,07:03:00,NARINO,RICAURTE,.98,-78.11,11,3.7,
1997/02/15,23:12:24,HUILA,PITALITO,1.864,-76.024,1.9,3.3,
1997/02/17,12:10:19,META,SAN JUANITO,4.411,-73.594,17.8,4.1,
1997/02/18,00:53:53,CHOCO,SIPI,4.603,-76.512,120,4.1,
1997/02/19,02:38:04,NARINO,RICAURTE,1.105,-78.066,0,3.2,
1997/02/19,18:25:14,CHOCO,SIPI,4.594,-76.533,115.9,5.8,
1997/02/26,00:09:53,SANTANDER,LOS SANTOS,6.863,-73.09,158.3,5,
1997/03/07,17:28:00,SANTANDER,GALAN,6.72,-73.349,140.7,5.5,
1997/03/08,13:09:08,BOYACA,TIBASOSA,5.766,-72.995,0,2.2,
1997/03/10,14:17:43,CASANARE,RECETOR,5.13,-72.77,0,5.2,
1997/03/20,21:33:07,VALLE DEL CAUCA,BUENAVENTURA,3.586,-77.151,84.4,3.9,
1997/03/20,12:08:50,CHOCO,EL CARMEN,5.985,-76.121,6.5,2.9,
1997/03/30,10:37:49,BOYACA,MARIPI,5.606,-74.019,116,4.2,
1997/04/17,09:28:18,NORTE DE SANTANDER,CACOTA,7.259,-72.679,0,3.7,
1997/05/02,00:48:37,SANTANDER,CEPITA,6.864,-72.992,160,4,
1997/05/02,06:18:45,CASANARE,SACAMA,6.008,-72.133,33,4.1,
1997/05/11,13:19:49,BOYACA,LABRANZAGRANDE,5.512,-72.643,16.4,4.7,
1997/05/11,18:17:00,SANTANDER,LOS SANTOS,6.806,-73.116,156,5.7,
1997/05/27,12:13:02,CHOCO,BAHIA SOLANO,6.372,-77.605,0,4.1,
1997/05/28,19:25:32,SANTANDER,LOS SANTOS,6.849,-73.045,160,5,
1997/06/11,07:07:39,SANTANDER,CEPITA,6.83,-72.97,160,6.1,
1997/06/11,19:10:00,SANTANDER,LOS SANTOS,6.848,-73.053,170,6.2,
1997/06/18,22:35:17,VALLE DEL CAUCA,EL DOVIO,4.414,-76.326,3.7,4.6,
1997/06/24,17:54:11,SANTANDER,CEPITA,6.81,-73.03,160,5.5,
1997/07/07,00:16:02,SANTANDER,LOS SANTOS,6.84,-73.075,161.8,5.1,
1997/07/15,03:23:58,CHOCO,SIPI,4.629,-76.787,52.7,4.2,
1997/07/17,12:44:13,META,CUBARRAL,3.822,-74.107,0,5.1,
1997/07/22,11:52:57,NARINO,PASTO,1.28,-77.26,1,2.6,
1997/07/24,19:23:10,SANTANDER,LOS SANTOS,6.827,-73.092,160,4.1,
1997/07/26,10:41:14,SANTANDER,PIEDECUESTA,6.888,-73.036,160,5.1,
